date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:21:42	124065/124065	---MCZ	200	added ('OK')	application/pdf	etag:%22f70f199-1e4a1-539dcaace3002%22	http://www.msit.in/ckeditor_assets/attachments/185/a_workshop_on_plc_scada_was_organized_by_eee_department_in_association_with_cetpa_pvt_ltd_on_17th_march_2016.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/185/a_workshop_on_plc_scada_was_organized_by_eee_department_in_association_with_cetpa_pvt_ltd_on_17th_march_2016.pdf	(from http://www.msit.in/pages/26)
17:22:02	328175/328175	---MCZ	200	added ('OK')	application/pdf	etag:%223343c19-501ef-539e3baab4763%22	http://www.msit.in/ckeditor_assets/attachments/187/reportoforientationaug_22016_doc.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/187/reportoforientationaug_22016_doc.pdf	(from http://www.msit.in/pages/26)
17:22:02	129761/129761	---MCZ	200	added ('OK')	application/pdf	etag:%22ebd5903-1fae1-539dc9ec5f888%22	http://www.msit.in/ckeditor_assets/attachments/184/one_day_workshop_on_embedded_systems_was_organized_on_11th_mar_2016_for_6thsemester_eee_students_by_department_of_electrical_and_electronics.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/184/one_day_workshop_on_embedded_systems_was_organized_on_11th_mar_2016_for_6thsemester_eee_students_by_department_of_electrical_and_electronics.pdf	(from http://www.msit.in/pages/26)
17:22:48	425171/425171	---MCZ	200	added ('OK')	application/pdf	etag:%2220bdafdd-67cd3-53324de279415%22	http://www.msit.in/ckeditor_assets/attachments/150/seminarreport_12-03-16.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/150/seminarreport_12-03-16.pdf	(from http://www.msit.in/pages/26)
17:23:10	408065/408065	---MCZ	200	added ('OK')	application/pdf	etag:%22552f6ee-63a01-533248f686f84%22	http://www.msit.in/ckeditor_assets/attachments/149/fdpreportappliedsc_27feb2016.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/149/fdpreportappliedsc_27feb2016.pdf	(from http://www.msit.in/pages/26)
17:23:13	438983/438983	---MCZ	200	added ('OK')	application/pdf	etag:%222634327f-6b2c7-52e29d2c23e69%22	http://www.msit.in/ckeditor_assets/attachments/99/art_of_living.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/99/art_of_living.pdf	(from http://www.msit.in/pages/26)
17:23:33	113084/113084	---MCZ	200	added ('OK')	application/pdf	etag:%221639202f-1b9bc-52d876997b307%22	http://www.msit.in/ckeditor_assets/attachments/43/sportsmeet.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/43/sportsmeet.pdf	(from http://www.msit.in/pages/26)
17:23:38	177731/177731	---MCZ	200	added ('OK')	application/pdf	etag:%22d1f69fc-2b643-539dc9b417b61%22	http://www.msit.in/ckeditor_assets/attachments/183/one_day_visit_to_22033_kv_gis_peeragarhi_was_organized_by_department_of_electrical_and.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/183/one_day_visit_to_22033_kv_gis_peeragarhi_was_organized_by_department_of_electrical_and.pdf	(from http://www.msit.in/pages/26)
17:23:55	1465010/1465010	---MCZ	200	added ('OK')	application/pdf	etag:%221076845-18c039-54281f943d974%22	http://www.msit.in/ckeditor_assets/attachments/236/nirf_ranking_data_2017.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/236/nirf_ranking_data_2017.pdf	(from http://www.msit.in/)
17:25:11	462595/462595	---MCZ	200	added ('OK')	application/pdf	etag:%222812e5f7-70f03-52f219207c926%22	http://www.msit.in/ckeditor_assets/attachments/111/annualreport_docx_1.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/111/annualreport_docx_1.pdf	(from http://www.msit.in/pages/26)
17:25:43	795693/795693	---MCZ	200	added ('OK')	application/pdf	etag:%221921face-c242d-52d876cb6908f%22	http://www.msit.in/ckeditor_assets/attachments/45/genesis_2k16.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/45/genesis_2k16.pdf	(from http://www.msit.in/pages/26)
17:26:33	1390019/1390019	---MCZ	200	added ('OK')	application/pdf	etag:%2222285146-1535c3-52e64ac0305d2%22	http://www.msit.in/ckeditor_assets/attachments/104/fdp.pdf	C:/Downloads/MSIT/MSIT/www.msit.in/ckeditor_assets/attachments/104/fdp.pdf	(from http://www.msit.in/pages/26)
